backbone,metric,effect,mean,sd,n,seed_8,seed_99,seed_123
C15,unique_cells,interaction,-13.490372272966733,62.19793907628286,3,32.431347963472305,11.37115079108169,-84.2736155734542
C15,coverage_entropy,D8_minus_D4,0.09956626235921677,0.22484149781481877,3,-0.15969960306206588,0.2410147530391702,0.21738363710054598
C15,coverage_entropy,H10k_minus_H5k,0.21213708394144656,0.3383069161500192,3,0.5982103900776465,0.07069617906769055,-0.03249531732099742
C15,coverage_entropy,interaction,0.008031746955183975,1.034418569367266,3,1.0490075259306257,-0.005209804604232371,-1.0197024804608414
C15,dg_density,D8_minus_D4,0.0007554614981876874,0.0004024797320611285,3,0.0011612854882651815,0.0007486874686940745,0.00035641153760380614
C15,dg_density,H10k_minus_H5k,0.0008516501965995024,0.0004926038575526527,3,0.0010765597700304452,0.0002867351096254474,0.0011916557101426146
C15,dg_density,interaction,4.726425520101713e-05,0.0039868307618005664,3,0.003914891974440744,0.000275835974580807,-0.004048935183418499
C15,dg_silent_fraction,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C15,dg_silent_fraction,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C15,dg_silent_fraction,interaction,0.0,0.0,3,0.0,0.0,0.0
C15,dg_usage_entropy,D8_minus_D4,-0.0005827641843779522,0.0015803766800447437,3,0.0011523741183472325,-0.0009608828748752796,-0.0019397837966058096
C15,dg_usage_entropy,H10k_minus_H5k,-0.0006370605509311011,0.0007802708127161664,3,-7.26222233230489e-05,-0.0015274569684383676,-0.0003111024610318869
C15,dg_usage_entropy,interaction,-1.051894264029555e-05,0.0038476404955496246,3,0.003326018265840114,0.0008618771250730184,-0.004219452218834019
C15,dg_behavior_event_fraction,D8_minus_D4,-0.013141763359263406,0.01650327379027102,3,0.003554223968688597,-0.013534189717553657,-0.02944532432892516
C15,dg_behavior_event_fraction,H10k_minus_H5k,0.0003267336512832175,0.0285885923745246,3,-0.020105657242318553,-0.011911372621965455,0.03299723081813366
C15,dg_behavior_event_fraction,interaction,-0.008369999893762118,0.011533076382065646,3,-0.02159296451863091,-0.003128464927637742,-0.0003885702350177045
C15,target_hit_lift,D8_minus_D4,-0.01644128960224267,0.018877946474557643,3,-0.010931931706651521,-0.03746101973474558,-0.0009309173653309077
C15,target_hit_lift,H10k_minus_H5k,-0.026537765642027183,0.02046882619077397,3,-0.05016378605094418,-0.01530026856182598,-0.014149242313311383
