base,seed,contrast,metric,value
C15,123,DIR_minus_MON_LEG,option_success_fraction,-0.00035928502237719817
C05,8,DIR_minus_MON_FILM,coverage_auc,2.2164097600365444
C05,8,DIR_minus_MON_FILM,dg_density,0.007902245772512338
C05,8,DIR_minus_MON_FILM,dg_silent_fraction,0.0
C05,8,DIR_minus_MON_FILM,dg_usage_entropy,0.022761640972212782
C05,8,DIR_minus_MON_FILM,recruitment_total,0.0
C05,8,DIR_minus_MON_FILM,repeat_assignments,0.0
C05,8,DIR_minus_MON_FILM,bad_source_assignments,0.0
C05,8,DIR_minus_MON_FILM,duplicate_assignments,0.0
C05,8,DIR_minus_MON_FILM,predictive_assignments,0.0
C05,8,DIR_minus_MON_FILM,attempt_coverage,0.03665021650101011
C05,8,DIR_minus_MON_FILM,fully_tested_count,0.0
C05,8,DIR_minus_MON_FILM,zero_outdegree_count,-0.3092105263157894
C05,8,DIR_minus_MON_FILM,untested_zero_outdegree_count,-0.3092105263157894
C05,8,DIR_minus_MON_FILM,bad_source_count,0.0
C05,8,DIR_minus_MON_FILM,reliable_out_degree_mean,0.09210526315789472
C05,8,DIR_minus_MON_FILM,predictive_event_count,-291.29605263157896
C05,8,DIR_minus_MON_FILM,predictive_context_groups,-79.6907894736842
C05,8,DIR_minus_MON_FILM,predictive_eligible_count,-2.3421052631578947
C05,8,DIR_minus_MON_FILM,predictive_reliability_gap,-0.5529242603990593
C05,8,DIR_minus_MON_FILM,largest_scc,-0.18421052631578938
C05,8,DIR_minus_MON_FILM,reachable_pair_fraction,0.004221491043848034
C05,8,DIR_minus_MON_FILM,reciprocal_fraction,-0.08750000027449507
C05,8,DIR_minus_MON_FILM,top3_incoming_share,-0.002577610706028244
C05,8,DIR_minus_MON_FILM,target_hit_lift,-0.47200812595455277
C05,8,DIR_minus_MON_FILM,target_action_sensitivity,-0.006470644858812817
C05,8,DIR_minus_MON_FILM,target_value_span,0.008312168304416303
C05,8,DIR_minus_MON_FILM,decoder_parameter_count,0.0
C05,8,DIR_minus_MON_FILM,film_modulation_norm_mean,-0.00432323615409827
C05,8,DIR_minus_MON_FILM,film_modulation_norm_max,0.32142645277475057
C05,8,DIR_minus_MON_FILM,behavior_replay_mismatch,0.0
C05,8,DIR_minus_MON_FILM,option_success_fraction,0.04348159110859823
C05,99,DIR_minus_MON_FILM,coverage_auc,1.6912398132229711
C05,99,DIR_minus_MON_FILM,dg_density,0.003890589663856907
C05,99,DIR_minus_MON_FILM,dg_silent_fraction,0.0
C05,99,DIR_minus_MON_FILM,dg_usage_entropy,-0.0015528970643093887
C05,99,DIR_minus_MON_FILM,recruitment_total,0.0
C05,99,DIR_minus_MON_FILM,repeat_assignments,0.0
C05,99,DIR_minus_MON_FILM,bad_source_assignments,0.0
C05,99,DIR_minus_MON_FILM,duplicate_assignments,0.0
C05,99,DIR_minus_MON_FILM,predictive_assignments,0.0
C05,99,DIR_minus_MON_FILM,attempt_coverage,-0.0036732445618039844
C05,99,DIR_minus_MON_FILM,fully_tested_count,0.0
C05,99,DIR_minus_MON_FILM,zero_outdegree_count,4.605263157894736
C05,99,DIR_minus_MON_FILM,untested_zero_outdegree_count,4.605263157894736
