base,treatment,contrast,metric,mean_difference,sd_difference,n,seed_8_difference,seed_99_difference,seed_123_difference
C03,C08,X+O minus immediate control,unique_cells,36.27376053906843,51.55835761451757,3,-6.348631809129678,93.58166479590304,21.588248630431906
C03,C08,X+O minus immediate control,coverage_entropy,0.01592271706356822,1.1302178393540705,3,-0.41816935572468994,1.298832449551611,-0.8328949426362164
C03,C08,X+O minus immediate control,dg_density,-0.004695983753744553,0.002380550530144141,3,-0.001993116989634395,-0.005613937876582924,-0.006480896395016339
C03,C08,X+O minus immediate control,dg_silent_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C08,X+O minus immediate control,dg_multi_fraction,-0.003819550823801743,0.005318381230202476,3,0.002320133782679739,-0.007005080678104575,-0.006773705575980392
C03,C08,X+O minus immediate control,dg_usage_entropy,-0.0011511706059275466,0.005746619972790065,3,-0.00539824405526812,0.00538772753640715,-0.0034429952989216694
C03,C08,X+O minus immediate control,dg_ca3_conflict_fraction,-0.01799237286603006,0.0009449840730401498,3,-0.0190544377744587,-0.01724452598422177,-0.01767815483940971
C03,C08,X+O minus immediate control,intrinsic_reward_mean,-0.03065424522449423,0.027531762691701767,3,-0.043437900879569474,-0.04947018540567821,0.0009453506117649974
C03,C08,X+O minus immediate control,intrinsic_reward_nonzero_fraction,-0.018186614923747277,0.016146907544701414,3,-0.0260879416870915,-0.028861251531862746,0.0003893484477124204
C03,C08,X+O minus immediate control,active_target_fraction,-3.1913807189513457e-06,5.670877899018555e-05,3,6.223192401955124e-05,-3.829656862741615e-05,-3.350949754898913e-05
C03,C08,X+O minus immediate control,target_hit_rate,-0.018264271854575163,0.016119928114825863,3,-0.026188470179738563,-0.02888837826797385,0.00028403288398692883
C03,C08,X+O minus immediate control,target_hit_lift,-0.019374429173199387,0.05146536193441539,3,-0.04345115756287288,-0.05438834272958093,0.03971621277285564
C03,C08,X+O minus immediate control,action_sensitivity,-0.002036691808663227,0.015265784256251058,3,-0.014488050418151117,0.014994861849498468,-0.006616886857337032
C03,C08,X+O minus immediate control,target_valid_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C08,X+O minus immediate control,value_span,-0.0022695659723400174,0.004425331774278269,3,-0.0021128781793069923,0.0020753409734621244,-0.006771160711175184
C03,C08,X+O minus immediate control,option_success_fraction,-0.23068927882811407,0.22862709673224843,3,-0.25807418820929096,-0.44439053428328895,0.010396886008237682
C03,C08,X+O minus immediate control,option_timeout_rate,0.03270739719498911,0.04041057844801194,3,0.025055530024509803,0.07639686734068628,-0.0033302057802287593
C03,C08,X+O minus immediate control,known_edge_fraction,0.028127268443699744,0.026402563770053858,3,0.019566991214269108,0.05774782169488518,0.007066992421944945
C03,C08,X+O minus immediate control,node_coverage_fraction,-0.0003404139433551186,0.0005896142454959392,3,0.0,0.0,-0.0010212418300653558
C03,C08,X+O minus immediate control,learned_deadline_fraction,0.00011329680746156405,0.0007249959800407737,3,0.0008882710746690448,0.0,-0.0005483806522843526
C03,C08,X+O minus immediate control,selected_deadline_mean,-2.1387383989778734,3.1413481603325217,3,-1.1301382351544937,-5.660506384045471,0.3744294222663438
C03,C08,X+O minus immediate control,exploration_selection_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C08,X+O minus immediate control,forced_exploration_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C08,X+O minus immediate control,exploration_reward_nonzero_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C08,X+O minus immediate control,her_loss,0.0,0.0,3,0.0,0.0,0.0
C03,C08,X+O minus immediate control,her_accepted_segments,0.0,0.0,3,0.0,0.0,0.0
C03,C08,X+O minus immediate control,her_segment_length,0.0,0.0,3,0.0,0.0,0.0
C03,C08,X+O minus immediate control,passive_updates,,,0,,,
C03,C08,X+O minus immediate control,passive_known_edge_fraction,,,0,,,
C03,C08,X+O minus immediate control,frontier_selection_rate,,,0,,,
C03,C08,X+O minus immediate control,frontier_yield,,,0,,,
C03,C08,X+O minus immediate control,frontier_reached_fraction,,,0,,,
C03,C08,X+O minus immediate control,route_available_rate,,,0,,,
C03,C08,X+O minus immediate control,hop_count_mean,,,0,,,
C03,C08,X+O minus immediate control,waypoint_success_rate,,,0,,,
C03,C08,X+O minus immediate control,final_frontier_reach_rate,,,0,,,
C03,C08,X+O minus immediate control,validation_success_rate,,,0,,,
C03,C08,X+O minus immediate control,validation_timeout_rate,,,0,,,
C03,C09,HER16 minus immediate control,coverage_auc,13.556411299508733,12.884245377483241,3,-1.2451176041691348,19.65723900965993,22.257112493035407
C03,C09,HER16 minus immediate control,unique_cells,20.826884785159756,20.369083236526887,3,-2.060468336278433,27.577337270948497,36.9637854208092
C03,C09,HER16 minus immediate control,coverage_entropy,-0.2238703266697207,0.5186696141551098,3,0.202433010460767,-0.801325806924285,-0.07271818354564408
C03,C09,HER16 minus immediate control,dg_density,-0.002682488468477669,0.0043889195657592275,3,0.0022468317567912593,-0.00616644566355188,-0.0041278514986723865
C03,C09,HER16 minus immediate control,dg_silent_fraction,0.0,0.0,3,0.0,0.0,0.0
C03,C09,HER16 minus immediate control,dg_multi_fraction,0.0019829112200435736,0.007554490998508778,3,0.010705486621732027,-0.002289815665849673,-0.002466937295751634
C03,C09,HER16 minus immediate control,dg_usage_entropy,-0.01108587333579473,0.003687437326380578,3,-0.007659125172234882,-0.014987909521152809,-0.010610585313996501
C03,C09,HER16 minus immediate control,dg_ca3_conflict_fraction,-0.06701291152854368,0.06111707833862262,3,-0.052951987272773615,-0.13393506816789214,-0.01415167914496529
C03,C09,HER16 minus immediate control,intrinsic_reward_mean,-0.021068916810282824,0.010623558557713296,3,-0.027691436140171062,-0.026700065921675536,-0.008815248369001882
C03,C09,HER16 minus immediate control,intrinsic_reward_nonzero_fraction,-0.012291070942265793,0.006069163829185875,3,-0.015985626021241827,-0.015601064644607844,-0.005286522160947708
C03,C09,HER16 minus immediate control,active_target_fraction,-3.1913807189513457e-06,4.643979846702276e-05,3,4.946640114378287e-05,-2.0743974673220755e-05,-3.829656862741615e-05
C03,C09,HER16 minus immediate control,target_hit_rate,-0.012320325265522875,0.006007716563343737,3,-0.01602392258986928,-0.015548406862745091,-0.005388646343954251
C03,C09,HER16 minus immediate control,target_hit_lift,0.03307013781761551,0.12515688450238593,3,-0.08047049400074024,0.012408939257166685,0.1672719681964201
C03,C09,HER16 minus immediate control,action_sensitivity,0.010644659883655155,0.007184333772419177,3,0.015768939105708615,0.013732385190867278,0.0024326553543895686
