condition,seed,window_low,window_high,terminal,target_hit_rate,target_hit_rate__n,timeout_rate,timeout_rate__n,option_success_fraction,option_success_fraction__n,elapsed_on_hit,elapsed_on_hit__n,elapsed_on_timeout,elapsed_on_timeout__n,target_selected_deadline,target_selected_deadline__n,selected_deadline_positive,selected_deadline_positive__n,learned_deadline_fraction,learned_deadline_fraction__n,known_controllability_time,known_controllability_time__n,known_edge_fraction,known_edge_fraction__n,target_hit_lift,target_hit_lift__n,action_sensitivity,action_sensitivity__n,target_valid_fraction,target_valid_fraction__n,selected_target_visits,selected_target_visits__n
C05,8,60000000,70000000,0,0.049044249487704916,305,0.09757780481557377,305,0.3327063165727209,305,4.587259147987991,305,7.888367801416115,305,7.942062487367724,305,7.942062487367724,305,0.9999653970608946,305,4.839230853221456,305,0.19295082019000756,305,1.0583822236686455,305,0.04234597701884684,305,1.0,305,2714.762279873207,305
C05,8,70000000,80000000,0,0.04696945440573771,305,0.10453701331967213,305,0.30820983526159507,305,4.576734252054183,305,7.4628395440148525,305,7.640276019299616,305,7.640276019299616,305,1.0,305,4.578259605657859,305,0.19842896187891726,305,1.1139100723579283,305,0.042344474126813844,305,1.0,305,2438.058226338371,305
C05,8,80000000,90000000,0,0.04128137807377049,305,0.11258484887295082,305,0.2668728849926933,305,4.145888442680484,305,7.3232333824282785,305,7.354471003422971,305,7.354471003422971,305,1.0,305,4.358734793741195,305,0.1583196718673237,305,1.0482426617966323,305,0.044196013849778254,305,1.0,305,2208.6718645940064,305
C05,8,90000000,100040704,1,0.04032853216612378,307,0.11220925793973942,307,0.2628008782718003,307,4.26975505825751,307,7.334989392407942,307,7.400226403525287,307,7.400226403525287,307,1.0,307,4.406164775065568,307,0.16871607026952873,307,1.058875814711232,307,0.046923270691732244,307,1.0,307,2219.253737657777,307
C05,99,0,10000000,0,0.02601658555327869,305,0.08302542264344262,305,0.2309120801262191,305,6.050316331425651,305,12.139128151877982,305,12.18160653505169,305,12.18160653505169,305,0.942142691084596,305,8.93915515336834,305,0.20289617457625564,305,0.8512091361108374,305,0.0015782972614540429,305,0.960883068647541,305,3518.703060944354,305
C05,99,10000000,20000000,0,0.03911533043032787,305,0.10168256915983606,305,0.27671176454082863,305,4.779726766367427,305,7.926549156376573,305,8.00542396170194,305,8.00542396170194,305,1.0,305,4.783957285959213,305,0.1701092870509038,305,0.9118997288531945,305,0.006531594464646988,305,1.0,305,3362.307715644211,305
C05,99,20000000,30000000,0,0.04418865266393442,305,0.09777792008196722,305,0.3100014599131756,305,4.756352200273607,305,8.018340482868132,305,8.12256459408119,305,8.12256459408119,305,1.0,305,4.552823340306516,305,0.20319672060794516,305,0.9759443636800422,305,0.011649398252245832,305,1.0,305,3249.8692839075306,305
C05,99,30000000,40000000,0,0.03276287141393443,305,0.09959016393442623,305,0.24677931368350983,305,5.123538442517891,305,8.326146150807865,305,8.406696752642022,305,8.406696752642022,305,1.0,305,4.9025012172636435,305,0.19004098123214283,305,0.8905337261371925,305,0.008643146290550711,305,1.0,305,2871.7733470478997,305
C05,99,40000000,50000000,0,0.038636654713114754,305,0.09810610911885245,305,0.27974731079379067,305,4.816729614382885,305,8.252291282278593,305,8.22755521711756,305,8.22755521711756,305,1.0,305,4.736918418133845,305,0.16637977889326752,305,0.9269701076335595,305,0.012088227325470232,305,1.0,305,2952.541163710297,305
C05,99,50000000,60000000,0,0.047776565053104576,306,0.10335605596405228,306,0.31431656014295967,306,4.213379458664289,306,7.68042431158178,306,7.646219686745039,306,7.646219686745039,306,1.0,306,4.692202109916537,306,0.15691721005961787,306,1.0530267205892825,306,0.018832601947722093,306,1.0,306,2597.720161388123,306
C05,99,60000000,70000000,0,0.04599769467213115,305,0.10690797899590164,305,0.29918481219010273,305,4.485735663429636,305,7.387684456246798,305,7.538485034567411,305,7.538485034567411,305,1.0,305,4.697970781169954,305,0.18057377006186814,305,1.079715495422238,305,0.014721287629704495,305,1.0,305,2724.7126384797643,305
C05,99,70000000,80000000,0,0.046564421106557376,305,0.10726818647540984,305,0.30137591962931587,305,4.463368804337549,305,7.328217914456227,305,7.468789488370302,305,7.468789488370302,305,1.0,305,4.759018302354656,305,0.18032786719134597,305,1.0896892629685948,305,0.01349207468666747,305,1.0,305,2811.8297219198257,305
C05,99,80000000,90000000,0,0.04836545850409836,305,0.10927734375,305,0.30552564253572556,305,4.46998040949712,305,7.143489931450516,305,7.354024510305436,305,7.354024510305436,305,1.0,305,4.77008722492906,305,0.18255464468823104,305,1.058605908370409,305,0.014536236904439379,305,1.0,305,2816.9822329661883,305
C05,99,90000000,100040704,1,0.043606537561074916,307,0.11238898361156352,307,0.27839105001101666,307,4.060655320506142,307,7.307779211174782,307,7.294388690289923,307,7.294388690289923,307,0.9998287589619913,307,4.367821533439214,307,0.1755700279330586,307,1.062889870098437,307,0.019629838909796086,307,1.0,307,2696.7144270409203,307
