id,low_m,n,lift_mean,lift_median,lift_max,fraction_gt2,fraction_gt100,success,target_rate,density,silence,entropy,edges,sensitivity,coverage,recruitment,target_activation_rate,shuffled_activation_rate,pooled_lift
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,5.0,153,1.083800929869281,1.0304277,2.9091418,0.0718954248366013,0.0,0.07041047540522875,0.010601766734640522,0.057609807385620916,0.010212418300653595,0.9518571756209152,0.030337691366013067,0.014079893739215687,45.141582653594774,0.0,0.03938845995618189,0.044011955098409654,0.8949491079891875
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,10.0,152,1.0708872892105263,0.97797937,5.1226277,0.05263157894736842,0.0,0.06737955183552631,0.01133968955263158,0.06595230070394736,0.025904605263157895,0.9422029787499999,0.04163925485526315,0.021514268414473684,42.66452343421052,0.0,0.04622537172817761,0.05771049125370697,0.8009873200517658
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,15.0,153,1.209699052156863,0.9328703,6.734545,0.13725490196078433,0.0,0.07461969157973858,0.010898565168627451,0.06503615015686275,0.024918300653594773,0.9496744179738563,0.04591503319607843,0.024453094549019606,51.475758424836606,0.0,0.044281937790562234,0.05432554978603209,0.8151217606627478
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,20.0,152,1.1386762316447367,0.9753446349999999,4.010343,0.11842105263157894,0.0,0.07420143729144736,0.011448910365789475,0.06552405135526317,0.03618421052631579,0.9486381843421052,0.04750548306578947,0.031104450914473687,46.42222755921053,0.0,0.04890224861121438,0.058176135729434086,0.8405894959859356
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,25.0,153,1.2699337639215686,0.91436464,13.702702,0.13725490196078433,0.0,0.07157978278104576,0.011106004871895425,0.06656182960784314,0.03758169934640523,0.9452006538562094,0.046922658477124186,0.034188868777777784,37.27048917647059,0.0,0.04575249748473054,0.05831830742475487,0.7845306132000255
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,30.0,153,1.2441412136601306,0.9716814,7.7254,0.17647058823529413,0.0,0.07115868153660132,0.01111557903006536,0.06631110695424836,0.034722222222222224,0.9530430675816993,0.048447712849673204,0.03798940409803921,48.33641437908497,0.0,0.04570183849585192,0.05689891084231843,0.8032111303941039
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,35.0,152,1.584572384368421,1.05600605,11.76,0.21052631578947367,0.0,0.07753135823750001,0.011092336559868422,0.06573365850657896,0.046052631578947366,0.9542396967763158,0.051589912605263154,0.04229398181578947,47.66899069078947,0.0,0.04551443414921536,0.061287924859787825,0.74263297792088
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,40.0,153,1.625012659614379,0.9850679,14.197832,0.24836601307189543,0.0,0.08473271443660131,0.01152407578496732,0.06495556779084968,0.04861111111111111,0.9525829958169936,0.05422113318300653,0.04358585144444444,46.07587990849673,0.0,0.044978990704978565,0.06060403283369022,0.7421781786108204
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,45.0,152,739.6618066402433,0.937363375,112149.53,0.24342105263157895,0.006578947368421052,0.09798073770835526,0.011095548922039473,0.0645633496381579,0.055509868421052634,0.9486491837500001,0.05487938636842105,0.04437405527894737,36.72485080921052,0.0,0.04357215308604273,0.05980131234800165,0.7286153325947664
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,50.0,153,1.8467909330457517,1.2169974,27.535212,0.3006535947712418,0.0,0.09883229380784314,0.011868744899346405,0.06449760474509804,0.05841503267973856,0.946257268496732,0.05629085007189542,0.04597865755882353,33.207393339869284,0.0,0.04851603418175136,0.06617254597505944,0.733174664309231
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,55.0,153,1.6472204120261438,1.2375433,13.02623,0.26143790849673204,0.0,0.08110829139738561,0.0113549325875817,0.06445312507843137,0.05800653594771242,0.946937782156863,0.05438453194771242,0.04250667774183006,29.850281398692815,0.0,0.04411717245608184,0.06473932146577886,0.6814586785467335
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,60.0,152,708.363509369046,1.0501000999999999,107407.41,0.2236842105263158,0.006578947368421052,0.08408090756513158,0.01136538857368421,0.0648592896118421,0.061677631578947366,0.9472120661842105,0.05479714950657895,0.04236057911513158,30.367986651315793,0.0,0.04574726196684883,0.06252317999641084,0.7316848242439837
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,65.0,152,2.2754702812039476,1.2676815000000001,21.717625,0.29605263157894735,0.0,0.09036782543684212,0.011818333660526316,0.06433828274342106,0.06126644736842105,0.945963122763158,0.0540570178618421,0.04491768849342106,30.643202868421053,0.0,0.04944722903558352,0.0690628174419042,0.7159746860483738
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,70.0,151,1213.6756013633112,1.3126733,129353.24,0.33112582781456956,0.013245033112582781,0.1017103523397351,0.011757553811258276,0.06314511345695366,0.060430463576158944,0.9480053417880795,0.05400110415231787,0.04519128959602649,29.32398558278146,0.0,0.04916512059369202,0.06013150182216672,0.8176266865759191
00_CPD_C15_GATE_ACT_BPTT_PASS_S8_20260907_035138_253854,75.0,1,0.5152661,0.5152661,0.5152661,0.0,0.0,0.027659575,0.0063476562,0.06100464,0.0625,0.9539653,0.054166667,0.040559504,,0.0,0.021848739495798318,0.04240282685512368,0.515266106442577
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,0.0,153,0.8145499777777778,0.8479197,1.1758958,0.0,0.0,0.16734270651633987,0.015149484286601308,0.02963157109607843,0.006127450980392157,0.969194852875817,0.0038398694901960783,0.001380125257920915,56.21673904761904,0.0,,,
00_DPR_C05_MON_FILM_S8_20260904_060812_552774,5.0,153,0.8872837252941177,0.87888074,1.1399102,0.0,0.0,0.20874436104575161,0.030509599679738562,0.03304355603921569,0.0,0.9683886814379085,0.0010348584705882353,0.00578137288366013,39.6456037254902,0.0,,,
