family,run_name,factor1,factor2,goal_conditioning,seed,window_low_m,window_high_m,samples,coverage_auc,option_success,action_sensitivity,target_rate,shuffle_rate,target_advantage,reachable_pairs
SAT,SAT_C15_ARR_MON_LEG_S99,ARR,MON,LEG,99,25,35,306,41.638322823529414,0.3532061954444445,0.0008117331209281046,0.010666080618281048,0.010572269359464627,0.00887333226450937,0.8824210231045752
SAT,SAT_C15_ARR_MON_LEG_S99,ARR,MON,LEG,99,35,45,305,38.27042033770491,0.376727158252459,0.0008378657886885247,0.011378894687051787,0.01119036865139315,0.016847169341035695,0.8903961722622952
SAT,SAT_C15_ARR_MON_LEG_S99,ARR,MON,LEG,99,45,55,305,35.31856689508197,0.3970351088852459,0.0010556034386885245,0.016150986436829846,0.01615471372653088,-0.00023072458999473522,0.9693442622295081
SAT,SAT_C15_ARR_MON_LEG_S99,ARR,MON,LEG,99,55,65,305,34.353061573770496,0.38517645238688525,0.0015195764107213113,0.014194564992767101,0.014193690712552394,6.159639747083112e-05,0.9802049180327869
SAT,SAT_C15_ARR_MON_LEG_S99,ARR,MON,LEG,99,65,75,305,42.69000543278689,0.3533320734819672,0.0018007063961967213,0.009026192529464482,0.008893338425070613,0.014938608882728355,0.8315710269508197
SAT,SAT_C15_ARR_PREDO_FILM_S123,ARR,PREDO,FILM,123,5,15,305,47.03032092786885,0.4158722019508197,0.0018900723664262297,0.014697643283831864,0.014604593734194163,0.006371252177993947,0.9659699440983607
SAT,SAT_C15_ARR_PREDO_FILM_S123,ARR,PREDO,FILM,123,15,25,305,50.348989452459016,0.4495953627540984,0.004177468316327869,0.016906521856179187,0.01700255117129124,-0.005647935662396186,0.9778688524590164
SAT,SAT_C15_ARR_PREDO_FILM_S123,ARR,PREDO,FILM,123,25,35,306,43.28366438562092,0.39451517375816997,0.005082386759477124,0.012764326419624519,0.012718095758910426,0.003635030085514357,0.9272194977777778
SAT,SAT_C15_ARR_PREDO_FILM_S123,ARR,PREDO,FILM,123,35,45,305,37.42669152459016,0.42396436411803284,0.008288685510819672,0.015591923863737436,0.01554782576940283,0.0028362868859381773,0.9579918025573773
SAT,SAT_C15_ARR_PREDO_FILM_S123,ARR,PREDO,FILM,123,45,55,305,41.96613756721311,0.4103002111803279,0.008911449721967214,0.013908442661417258,0.013872576554494545,0.002585396215463165,0.9238934420983607
SAT,SAT_C15_ARR_PREDO_FILM_S123,ARR,PREDO,FILM,123,55,65,305,35.663291095081966,0.4202973375901639,0.01358139501147541,0.016019655128646806,0.0160011921726415,0.00115384877614777,0.9713661200655739
SAT,SAT_C15_ARR_PREDO_FILM_S123,ARR,PREDO,FILM,123,65,75,305,36.3989404557377,0.4379771215409836,0.018103283953770494,0.018035863219349458,0.017955336101447648,0.004484857172643908,0.9432923496393442
SAT,SAT_C15_ARR_PREDO_FILM_S8,ARR,PREDO,FILM,8,5,15,305,68.45683443606558,0.4411206737213115,0.002430088716481967,0.013308574217976965,0.013136625611210996,0.013089252282505903,0.9156147538360655
SAT,SAT_C15_ARR_PREDO_FILM_S8,ARR,PREDO,FILM,8,15,25,305,49.38308128196721,0.39289980654426226,0.0031363909911803277,0.013357776889870809,0.013187094913434654,0.012943106693064754,0.9849043713442623
SAT,SAT_C15_ARR_PREDO_FILM_S8,ARR,PREDO,FILM,8,25,35,306,41.60911423202615,0.35499243716013074,0.0035132571120915033,0.00946122572297426,0.00936713346326526,0.01004493638080417,0.8350217852287581
SAT,SAT_C15_ARR_PREDO_FILM_S8,ARR,PREDO,FILM,8,35,45,305,40.906234478688525,0.394109354052459,0.004009839299672132,0.01148255661998139,0.011416726517667303,0.005766110120288381,0.9316666670491803
SAT,SAT_C15_ARR_PREDO_FILM_S8,ARR,PREDO,FILM,8,45,55,305,45.01621415737705,0.4065282715409836,0.004552499055409837,0.013289974885687896,0.013179308057056999,0.008397013572472023,0.8462431649836065
SAT,SAT_C15_ARR_PREDO_FILM_S8,ARR,PREDO,FILM,8,55,65,305,44.343348131147536,0.3422876682819672,0.005392831434426229,0.011193235991710465,0.010892395844231094,0.027619281541140905,0.8856830393114756
SAT,SAT_C15_ARR_PREDO_FILM_S8,ARR,PREDO,FILM,8,65,75,305,51.01978174754098,0.36291025276393446,0.005726730511803279,0.010698721754814424,0.010340690521985869,0.03462353235186044,0.8890710148196723
SAT,SAT_C15_ARR_PREDO_FILM_S99,ARR,PREDO,FILM,99,5,15,305,62.118682183606545,0.43146495554098363,0.0014426647376229508,0.013523825831884662,0.013403795522683346,0.008954949290161052,0.9500136577704917
SAT,SAT_C15_ARR_PREDO_FILM_S99,ARR,PREDO,FILM,99,15,25,305,46.117226183606554,0.3519935717377049,0.0030972944840655745,0.008833741175867679,0.008809194922984702,0.002786435434517509,0.8325273186229508
SAT,SAT_C15_ARR_PREDO_FILM_S99,ARR,PREDO,FILM,99,25,35,306,45.352460169934645,0.3763878256928105,0.005096054404248365,0.009687529994274196,0.009575217718198645,0.011729474919624172,0.8415168763071895
SAT,SAT_C15_ARR_PREDO_FILM_S99,ARR,PREDO,FILM,99,35,45,305,46.05098373770491,0.36192384175409836,0.006423147759672131,0.009597791193259634,0.009407866569870256,0.020187852578355203,0.835928955442623
SAT,SAT_C15_ARR_PREDO_FILM_S99,ARR,PREDO,FILM,99,45,55,305,41.389100780327865,0.35074154880983605,0.008685627962950818,0.009522478353116579,0.009398468776482276,0.013194657511084174,0.9203142064262294
SAT,SAT_C15_ARR_PREDO_FILM_S99,ARR,PREDO,FILM,99,55,65,305,44.27238259016393,0.3733766259180328,0.008068217772786886,0.010422390944332918,0.010356727487654675,0.006340174225547113,0.8913661169180327
SAT,SAT_C15_ARR_PREDO_FILM_S99,ARR,PREDO,FILM,99,65,75,305,46.62033675409835,0.3900509825737705,0.008680316484262296,0.011132659811173251,0.01091344456553439,0.020086714540261896,0.9090983579672132
SAT,SAT_C15_ARR_PREDO_LEG_S123,ARR,PREDO,LEG,123,5,15,305,82.95932499016394,0.473229986,0.0004959496641311476,0.01679875156818947,0.016576233016717474,0.013423951705286763,0.9487704918032787
SAT,SAT_C15_ARR_PREDO_LEG_S123,ARR,PREDO,LEG,123,15,25,305,71.03821261639345,0.456294066295082,0.001170707449442623,0.018471966416114954,0.018407340763923828,0.0035108630312199463,0.9682377049180327
SAT,SAT_C15_ARR_PREDO_LEG_S123,ARR,PREDO,LEG,123,25,35,306,55.337773428104576,0.435376646633987,0.002006576328071895,0.021209060741595728,0.02107825765396527,0.006205592975368601,0.9391476034640523
SAT,SAT_C15_ARR_PREDO_LEG_S123,ARR,PREDO,LEG,123,35,45,305,55.053102924590156,0.41940397372459015,0.0019200109589836065,0.014170730805418487,0.01413104789486534,0.0028082072078721154,0.9275136556065574
SAT,SAT_C15_ARR_PREDO_LEG_S123,ARR,PREDO,LEG,123,45,55,305,51.03499446557377,0.3829331719213115,0.0014658160702295082,0.010761586513448492,0.010730317064481652,0.0029141216218433463,0.8520081915409836
SAT,SAT_C15_ARR_PREDO_LEG_S123,ARR,PREDO,LEG,123,55,65,305,42.69662325901639,0.39515166149180325,0.001741382875508197,0.012969082258632032,0.012809731484559873,0.012439821573483556,0.9103551872131149
SAT,SAT_C15_ARR_PREDO_LEG_S123,ARR,PREDO,LEG,123,65,75,305,46.517059183606555,0.4051084611245902,0.0025534165646229506,0.013123563842205938,0.013040744466800805,0.0063508165209413825,0.9020355161311473
SAT,SAT_C15_ARR_PREDO_LEG_S8,ARR,PREDO,LEG,8,5,15,305,66.87404161639343,0.4589442388524591,0.0006538318362491804,0.01748553647477903,0.01733128242920739,0.008900324958739825,0.9807377049180328
SAT,SAT_C15_ARR_PREDO_LEG_S8,ARR,PREDO,LEG,8,15,25,305,50.24709332131148,0.39566504280655734,0.0007154587020327869,0.012307554433669526,0.012083347636538396,0.018555023315985686,0.9502732216065576
SAT,SAT_C15_ARR_PREDO_LEG_S8,ARR,PREDO,LEG,8,25,35,306,46.072988052287585,0.34961793114052286,0.0009789110946732027,0.00980854347199376,0.009607713799260254,0.020902961612883297,0.8800517323529411
SAT,SAT_C15_ARR_PREDO_LEG_S8,ARR,PREDO,LEG,8,35,45,305,40.043953596721316,0.33450952095737707,0.0007923101222295083,0.009365394410974302,0.009289244014413356,0.008197695791260173,0.7077868775081967
SAT,SAT_C15_ARR_PREDO_LEG_S8,ARR,PREDO,LEG,8,45,55,305,39.038191491803275,0.3487726564360656,0.0009425605501639344,0.010442336801924666,0.01022892963555476,0.0208630984837479,0.7642349689508197
SAT,SAT_C15_ARR_PREDO_LEG_S8,ARR,PREDO,LEG,8,55,65,305,37.03741590163935,0.3727457134918033,0.001374449304327869,0.011478137253370409,0.011351806277397302,0.011128711403809444,0.8544262263278688
SAT,SAT_C15_ARR_PREDO_LEG_S8,ARR,PREDO,LEG,8,65,75,305,39.2042809704918,0.4025400506229508,0.001373382185409836,0.012829106459522982,0.01265448986859133,0.013798785470211072,0.9489480859016394
