condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,best_corr_to_latent_probs,best_corr_to_latent_samples
no_learning,0.5,17,0.32049560546875,0.3203125,0.031323763098960414,10.255859375,3.363255729977221,1.0,0.0,1.7171353826030085,6.339907977256282,0.2904255051451822,0.4808065698070706
encourage,0.5,17,0.32574462890625,0.35546875,0.06479389963155745,10.423828125,8.714776121361867,1.0,0.19140625,1.8654316672492135,6.980189103149662,0.3724059464370024,0.8375705348961948
punish,0.5,17,0.24609375,0.24609375,0.012333330996401454,7.875,12.15058511965576,1.0,0.58203125,1.3737649063032369,6.837951497389726,0.11143615182702829,0.4764716050623975
no_learning,0.5,18,0.31707763671875,0.318359375,0.030678712783223275,10.146484375,2.3477106833851695,1.0,0.0,1.6492063492063491,6.444447863343765,0.24790483208407657,0.48163673816224806
encourage,0.5,18,0.31463623046875,0.3271484375,0.06994082977134045,10.068359375,8.222326624554002,1.0,0.23046875,1.8827611395178963,7.1761748736750235,0.40388139349888336,0.8688481829018097
punish,0.5,18,0.24609375,0.2470703125,0.010863572002581538,7.875,12.343710442974592,1.0,0.599609375,1.3747016706443913,6.8928417047519,0.110944037707456,0.48120029900243877
no_learning,0.5,19,0.3162841796875,0.32421875,0.03476733085647686,10.12109375,2.1417046490379894,1.0,0.0,1.6673101673101673,6.437995071260024,0.27055196331800824,0.48034800591334914
encourage,0.5,19,0.323974609375,0.3369140625,0.06601510132350541,10.3671875,8.570590241625354,1.0,0.193359375,1.8716502115655853,7.007887784421255,0.3790116360105675,0.8399601679109514
punish,0.5,19,0.250244140625,0.2509765625,0.014073600626301112,8.0078125,12.233723941010103,1.0,0.59375,1.3945578231292517,6.865101890561496,0.11334413919170114,0.4872479395808005
no_learning,1.0,0,0.1644287109375,0.173828125,0.030987351067336317,5.26171875,1.8723573499464352,1.0,0.0,1.3316856154226397,2.5463661751710225,0.23991938692282097,0.4331599406658256
encourage,1.0,0,0.1961669921875,0.203125,0.03269274520365506,6.27734375,4.692209548212435,1.0,0.166015625,1.5304761904761905,3.2993954906425325,0.37720405305406357,0.8076820816408539
punish,1.0,0,0.130859375,0.1298828125,0.01628255078177057,4.1875,6.977642868476432,1.0,0.51953125,1.186496956281129,3.151284763371617,0.11923461483742423,0.31287199764509954
no_learning,1.0,1,0.16680908203125,0.171875,0.023406246327907953,5.337890625,2.919674947753107,1.0,0.013671875,1.3171084337349397,2.7666880456578484,0.2215165247508162,0.41718123827634596
encourage,1.0,1,0.1873779296875,0.1953125,0.026235463340772487,5.99609375,4.30796686282647,1.0,0.166015625,1.5296462381664175,3.5115215197456724,0.3925512143334418,0.8355518571012261
punish,1.0,1,0.1400146484375,0.142578125,0.015681640959480863,4.48046875,7.71967412073032,1.0,0.546875,1.18308406395049,3.3416782594651506,0.11752413303444084,0.3344403273432789
no_learning,1.0,2,0.16827392578125,0.1689453125,0.021222600522908138,5.384765625,2.3356949798332742,1.0,0.00390625,1.3601381351751356,2.740142136076953,0.27213122426172176,0.4722139016381775
encourage,1.0,2,0.18896484375,0.197265625,0.026921970218926214,6.046875,4.501057818377253,1.0,0.1640625,1.5472263868065967,3.5286050798423796,0.3873607852725981,0.8457437793703766
punish,1.0,2,0.1378173828125,0.1357421875,0.014874055944666073,4.41015625,7.280092073633818,1.0,0.541015625,1.1909282700421941,3.1265829441414144,0.11004417875438163,0.33274147452947606
no_learning,1.0,3,0.16058349609375,0.162109375,0.026307143615314114,5.138671875,2.5422808629425635,1.0,0.01171875,1.2884427032321253,2.638273675484509,0.2186235718667113,0.39413166246416426
